"성별","행정구역별","연령별","혼인상태별",2020,2020,2020,2020,2020,2020
"성별","행정구역별","연령별","혼인상태별",중학교,고등학교,대학(4년제 미만),대학교(4년제 이상),대학원(석사 과정),대학원(박사 과정)
"여자","서울특별시","　15~19","미혼",27744,126592,12579,30917,-,-
"여자","서울특별시","　15~19","유배우",9,55,3,12,-,-
"여자","서울특별시","　20~24","미혼",622,46477,71361,203500,6719,180
"여자","서울특별시","　20~24","유배우",89,1286,552,632,28,4
"여자","서울특별시","　25~29","미혼",755,34899,73599,222647,27921,3140
"여자","서울특별시","　25~29","유배우",289,5647,9974,21198,3156,347
"여자","서울특별시","　30~34","미혼",472,20074,41391,119151,21690,3858
"여자","서울특별시","　30~34","유배우",641,10796,25855,78611,16295,2722
"여자","서울특별시","　35~39","미혼",698,21053,26424,60716,13752,3158
"여자","서울특별시","　35~39","유배우",650,25801,44463,111400,28834,5446
"여자","서울특별시","　40~44","미혼",666,17506,16194,33830,9377,2442
"여자","서울특별시","　40~44","유배우",1209,46010,49447,108788,30799,6759
"여자","서울특별시","　45~49","미혼",894,17361,9285,21323,6784,2039
"여자","서울특별시","　45~49","유배우",4019,92142,46592,105391,25220,6823
"여자","서울특별시","　50~54","미혼",1025,11275,3489,10807,3572,1266
"여자","서울특별시","　50~54","유배우",12414,124443,31377,93575,17762,5676
"여자","서울특별시","　55~59","미혼",1180,7015,1358,5126,1572,593
"여자","서울특별시","　55~59","유배우",28327,135983,20725,71419,12048,3815
"여자","서울특별시","　60~64","미혼",1316,5871,866,2703,1059,482
"여자","서울특별시","　60~64","유배우",44218,137933,13574,45131,8057,2689
"여자","서울특별시","　65~69","미혼",1084,3187,496,1293,447,201
"여자","서울특별시","　65~69","유배우",38403,78655,7030,26673,3581,1246
"여자","서울특별시","　70~74","미혼",583,1430,125,489,188,70
"여자","서울특별시","　70~74","유배우",26875,40066,3443,15749,1773,408
"여자","서울특별시","　75~79","미혼",387,616,30,268,49,13
"여자","서울특별시","　75~79","유배우",14025,17858,1308,7525,710,227
"여자","서울특별시","　80~84","미혼",128,219,39,120,20,8
"여자","서울특별시","　80~84","유배우",5013,6564,474,2933,248,106
"여자","서울특별시","　85세이상","미혼",106,87,22,41,13,14
"여자","서울특별시","　85세이상","유배우",1146,1672,167,568,72,26
"여자","부산광역시","　15~19","미혼",9711,41636,3388,13756,-,-
"여자","부산광역시","　15~19","유배우",5,27,14,6,-,-
"여자","부산광역시","　20~24","미혼",272,11581,17447,68678,1221,72
"여자","부산광역시","　20~24","유배우",50,680,311,250,21,-
"여자","부산광역시","　25~29","미혼",254,9083,18096,55863,3636,384
"여자","부산광역시","　25~29","유배우",259,2948,4168,7047,347,35
"여자","부산광역시","　30~34","미혼",210,5148,9854,27082,2629,492
